store_id,timezone_str
2.72E+18,America/Chicago
5.35E+18,America/Chicago
8.36E+18,America/Chicago
7.49E+18,America/Chicago
5.87E+18,America/Chicago
4.09E+18,America/Chicago
4.94E+18,America/Chicago
5.64E+18,America/Chicago
6.08E+18,America/Chicago
1.58E+17,America/Chicago
7.61E+18,America/Chicago
4.98E+18,America/Chicago
1.49E+17,America/Chicago
7.05E+18,America/Chicago
3.52E+18,America/Chicago
7.70E+18,America/Chicago
8.03E+18,America/Chicago
3.51E+18,America/Chicago
5.41E+17,America/Chicago
2.24E+18,America/Chicago
8.14E+18,America/Chicago
4.56E+18,America/Chicago
2.75E+18,America/Chicago
3.68E+17,America/Chicago
4.39E+18,America/Chicago
8.20E+18,America/Chicago
8.26E+18,America/Chicago
2.72E+18,America/Chicago
4.33E+18,America/Chicago
5.01E+18,America/Chicago
7.32E+18,America/Chicago
8.46E+16,America/Chicago
5.50E+18,America/Chicago
7.08E+18,America/Chicago
3.74E+18,America/Chicago
6.89E+18,America/Chicago
2.74E+18,America/Chicago
7.57E+18,America/Chicago
3.88E+18,America/Chicago
3.90E+18,America/Chicago
6.29E+18,America/Chicago
9.09E+18,America/Chicago
3.64E+18,America/Chicago
4.45E+18,America/Chicago
4.30E+18,America/Chicago
9.19E+18,America/Chicago
6.10E+18,America/Chicago
6.83E+18,America/Chicago
4.29E+18,America/Chicago
2.80E+18,America/Chicago
5.23E+18,America/Chicago
7.79E+18,America/Chicago
8.77E+18,America/Chicago
6.05E+18,America/Chicago
1.65E+18,America/Chicago
2.44E+18,America/Chicago
2.36E+18,America/Chicago
4.04E+17,America/Chicago
7.92E+18,America/Chicago
1.75E+18,America/Chicago
4.68E+18,America/Chicago
5.91E+17,America/Chicago
8.52E+18,America/Chicago
8.17E+18,America/Chicago
1.25E+18,America/Chicago
2.09E+18,America/Chicago
6.55E+18,America/Chicago
5.13E+18,America/Chicago
5.62E+18,America/Chicago
2.33E+18,America/Chicago
8.90E+18,America/Chicago
5.77E+18,America/Chicago
7.71E+18,America/Chicago
1.57E+18,America/Chicago
7.60E+18,America/Chicago
5.48E+18,America/Chicago
4.27E+18,America/Chicago
5.93E+18,America/Chicago
5.33E+18,America/Chicago
2.82E+18,America/Chicago
2.14E+18,America/Chicago
2.11E+18,America/Chicago
5.65E+18,America/Chicago
3.12E+18,America/Chicago
8.47E+18,America/Chicago
1.14E+18,America/Chicago
6.94E+18,America/Chicago
4.38E+18,America/Chicago
4.67E+18,America/Chicago
1.27E+18,America/Chicago
4.11E+18,America/Chicago
4.42E+17,America/Chicago
1.13E+18,America/Chicago
4.39E+18,America/Chicago
2.57E+18,America/Chicago
2.74E+18,America/Chicago
1.14E+17,America/Chicago
3.43E+18,America/Chicago
2.79E+18,America/Chicago
6.56E+18,America/Chicago
9.66E+16,America/Chicago
7.54E+18,America/Chicago
3.59E+18,America/Chicago
2.60E+18,America/Chicago
7.52E+18,America/Chicago
3.51E+18,America/Chicago
7.74E+18,America/Chicago
4.62E+18,America/Chicago
3.26E+18,America/Chicago
8.91E+17,America/Chicago
8.40E+18,America/Chicago
2.54E+18,America/Chicago
1.35E+18,America/Chicago
8.16E+18,America/Chicago
9.79E+17,America/Chicago
8.28E+18,America/Chicago
4.57E+18,America/Chicago
3.33E+18,America/Chicago
5.87E+18,America/Chicago
3.97E+18,America/Chicago
7.92E+18,America/Chicago
5.75E+18,America/Chicago
8.49E+18,America/Chicago
9.13E+18,America/Chicago
8.80E+18,America/Chicago
6.76E+18,America/Chicago
8.57E+18,America/Chicago
2.06E+18,America/Chicago
2.33E+18,America/Chicago
3.48E+18,America/Chicago
8.77E+18,America/Chicago
1.28E+18,America/Chicago
7.48E+18,America/Chicago
5.19E+18,America/Chicago
7.91E+18,America/Chicago
7.11E+18,America/Chicago
7.10E+18,America/Chicago
5.29E+18,America/Chicago
2.45E+18,America/Chicago
3.00E+18,America/Chicago
4.62E+18,America/Chicago
4.48E+18,America/Chicago
6.83E+18,America/Chicago
6.35E+18,America/Chicago
3.73E+18,America/Chicago
2.70E+18,America/Chicago
8.72E+18,America/Chicago
4.15E+18,America/Chicago
5.05E+18,America/Chicago
6.24E+18,America/Chicago
4.40E+18,America/Chicago
8.66E+18,America/Chicago
7.88E+16,America/Chicago
3.34E+18,America/Chicago
1.55E+18,America/Chicago
5.53E+18,America/Chicago
6.25E+18,America/Chicago
4.92E+18,America/Chicago
6.79E+18,America/Chicago
3.21E+18,America/Chicago
1.23E+18,America/Chicago
3.83E+18,America/Chicago
5.72E+18,America/Chicago
1.50E+18,America/Chicago
5.61E+18,America/Chicago
9.11E+18,America/Chicago
7.00E+18,America/Chicago
2.13E+18,America/Chicago
4.66E+18,America/Chicago
1.06E+18,America/Chicago
3.12E+18,America/Chicago
5.83E+18,America/Chicago
2.29E+17,America/Chicago
3.90E+18,America/Chicago
7.90E+18,America/Chicago
7.12E+18,America/Chicago
3.41E+18,America/Chicago
6.20E+18,America/Chicago
4.25E+18,America/Chicago
6.54E+18,America/Chicago
3.75E+18,America/Chicago
5.45E+17,America/Chicago
4.68E+18,America/Chicago
1.25E+18,America/Chicago
2.74E+18,America/Chicago
6.82E+18,America/Chicago
6.11E+18,America/Chicago
1.45E+17,America/Chicago
2.67E+18,America/Chicago
5.52E+18,America/Chicago
3.67E+18,America/Chicago
7.58E+17,America/Chicago
3.92E+17,America/Chicago
1.02E+18,America/Chicago
4.31E+18,America/Chicago
8.83E+18,America/Chicago
2.38E+18,America/Chicago
2.46E+18,America/Chicago
2.61E+18,America/Chicago
5.44E+18,America/Chicago
2.94E+18,America/Chicago
8.34E+18,America/Chicago
5.51E+18,America/Chicago
7.67E+18,America/Chicago
1.26E+16,America/Chicago
1.32E+18,America/Chicago
3.97E+18,America/Chicago
1.28E+18,America/Chicago
7.87E+18,America/Chicago
3.40E+17,America/Chicago
2.20E+18,America/Chicago
8.50E+17,America/Chicago
1.12E+18,America/Chicago
1.34E+18,America/Chicago
8.38E+18,America/Chicago
1.41E+18,America/Chicago
5.67E+18,America/Chicago
4.76E+18,America/Chicago
7.85E+18,America/Chicago
7.10E+18,America/Chicago
3.53E+18,America/Chicago
6.64E+18,America/Chicago
7.30E+18,America/Chicago
3.33E+17,America/Chicago
8.05E+18,America/Chicago
9.22E+17,America/Chicago
8.47E+18,America/Chicago
6.84E+18,America/Chicago
3.34E+18,America/Chicago
1.49E+18,America/Chicago
5.55E+18,America/Chicago
3.36E+18,America/Chicago
4.82E+18,America/Chicago
3.31E+18,America/Chicago
6.91E+18,America/Chicago
8.17E+18,America/Chicago
7.38E+18,America/Chicago
1.91E+18,America/Chicago
4.18E+18,America/Chicago
6.94E+18,America/Chicago
8.49E+18,America/Chicago
6.53E+18,America/Chicago
4.96E+18,America/Chicago
6.26E+18,America/Chicago
4.66E+18,America/Chicago
5.88E+18,America/Chicago
5.15E+18,America/Chicago
7.38E+18,America/Chicago
8.24E+18,America/Chicago
6.24E+18,America/Chicago
8.74E+18,America/Chicago
6.46E+18,America/Chicago
8.11E+17,America/Chicago
8.97E+18,America/Chicago
1.76E+18,America/Chicago
3.13E+18,America/Chicago
5.04E+18,America/Chicago
7.47E+18,America/Chicago
6.70E+18,America/Chicago
3.66E+18,America/Chicago
4.61E+18,America/Chicago
9.22E+18,America/Chicago
2.69E+18,America/Chicago
3.18E+18,America/Chicago
8.96E+18,America/Chicago
5.44E+18,America/Chicago
1.74E+18,America/Chicago
5.23E+18,America/Chicago
6.42E+18,America/Chicago
8.53E+18,America/Chicago
5.89E+18,America/Chicago
1.57E+18,America/Chicago
1.28E+18,America/Chicago
7.42E+18,America/Chicago
2.22E+18,America/Chicago
2.58E+18,America/Chicago
4.44E+18,America/Chicago
2.82E+18,America/Chicago
9.09E+18,America/Chicago
3.01E+18,America/Chicago
3.48E+18,America/Chicago
9.23E+17,America/Chicago
8.51E+18,America/Chicago
2.54E+18,America/Chicago
1.09E+18,America/Chicago
7.64E+18,America/Chicago
4.77E+18,America/Chicago
8.84E+18,America/Chicago
1.08E+18,America/Chicago
3.48E+18,America/Chicago
8.38E+18,America/Chicago
8.60E+18,America/Chicago
5.94E+18,America/Chicago
7.16E+18,America/Chicago
8.71E+18,America/Chicago
4.16E+18,America/Chicago
1.33E+18,America/Chicago
3.87E+18,America/Chicago
5.30E+17,America/Chicago
5.44E+17,America/Chicago
8.25E+18,America/Chicago
2.65E+18,America/Chicago
5.64E+18,America/Chicago
4.65E+18,America/Chicago
5.41E+18,America/Chicago
6.65E+18,America/Chicago
6.02E+18,America/Chicago
3.18E+18,America/Chicago
6.71E+18,America/Chicago
7.43E+18,America/Chicago
8.52E+18,America/Chicago
4.87E+18,America/Chicago
2.24E+18,America/Chicago
5.40E+18,America/Chicago
8.08E+17,America/Chicago
3.64E+18,America/Chicago
5.52E+18,America/Chicago
3.30E+18,America/Chicago
3.57E+18,America/Chicago
2.17E+18,America/Chicago
7.37E+18,America/Chicago
1.60E+18,America/Chicago
5.01E+18,America/Chicago
8.06E+18,America/Chicago
6.81E+18,America/Chicago
6.08E+18,America/Chicago
8.30E+18,America/Chicago
4.92E+18,America/Chicago
6.95E+18,America/Chicago
2.15E+18,America/Chicago
3.22E+18,America/Chicago
4.92E+18,America/Chicago
2.22E+17,America/Chicago
5.37E+18,America/Chicago
1.91E+17,America/Chicago
7.24E+18,America/Chicago
1.70E+18,America/Chicago
5.06E+17,America/Chicago
7.85E+18,America/Chicago
4.79E+18,America/Chicago
3.30E+18,America/Chicago
4.03E+18,America/Chicago
2.72E+18,America/Chicago
5.62E+18,America/Chicago
7.76E+18,America/Chicago
8.50E+18,America/Chicago
2.76E+18,America/Chicago
7.54E+18,America/Chicago
6.71E+18,America/Chicago
3.96E+18,America/Chicago
8.36E+18,America/Chicago
4.39E+18,America/Chicago
2.82E+18,America/Chicago
8.27E+18,America/Chicago
1.06E+18,America/Chicago
6.32E+18,America/Chicago
8.56E+18,America/Chicago
4.85E+18,America/Chicago
4.68E+17,America/Chicago
8.32E+18,America/Chicago
6.19E+18,America/Chicago
1.09E+16,America/Chicago
3.96E+17,America/Chicago
7.69E+18,America/Chicago
6.57E+18,America/Chicago
1.85E+18,America/Chicago
9.09E+18,America/Chicago
3.11E+18,America/Chicago
1.83E+18,America/Chicago
4.42E+18,America/Chicago
3.00E+18,America/Chicago
3.47E+18,America/Chicago
7.19E+18,America/Chicago
7.83E+18,America/Chicago
5.86E+18,America/Chicago
8.25E+18,America/Chicago
4.68E+18,America/Chicago
3.20E+18,America/Chicago
8.02E+18,America/Chicago
4.74E+18,America/Chicago
2.56E+18,America/Chicago
7.09E+18,America/Chicago
1.60E+18,America/Chicago
2.74E+18,America/Chicago
1.10E+18,America/Chicago
2.34E+18,America/Chicago
4.11E+18,America/Chicago
1.53E+18,America/Chicago
9.03E+18,America/Chicago
4.21E+18,America/Chicago
8.63E+16,America/Chicago
2.79E+18,America/Chicago
2.64E+18,America/Chicago
7.29E+18,America/Chicago
4.23E+18,America/Chicago
7.87E+18,America/Chicago
3.48E+18,America/Chicago
3.71E+18,America/Chicago
4.46E+18,America/Chicago
7.38E+18,America/Chicago
3.84E+18,America/Chicago
6.93E+18,America/Chicago
2.74E+18,America/Chicago
2.38E+18,America/Chicago
4.63E+18,America/Chicago
4.99E+17,America/Chicago
8.56E+18,America/Chicago
3.53E+18,America/Chicago
3.59E+18,America/Chicago
6.37E+18,America/Chicago
3.82E+18,America/Chicago
3.27E+18,America/Chicago
5.05E+18,America/Chicago
5.78E+18,America/Chicago
7.58E+18,America/Chicago
5.66E+18,America/Chicago
8.78E+18,America/Chicago
3.23E+18,America/Chicago
4.55E+18,America/Chicago
1.39E+18,America/Chicago
3.77E+18,America/Chicago
2.60E+18,America/Chicago
1.70E+18,America/Chicago
6.12E+16,America/Chicago
8.16E+18,America/Chicago
2.24E+18,America/Chicago
6.55E+18,America/Chicago
6.94E+18,America/Chicago
2.40E+18,America/Chicago
6.63E+17,America/Chicago
6.70E+17,America/Chicago
5.10E+18,America/Chicago
8.93E+18,America/Chicago
2.94E+17,America/Chicago
7.71E+18,America/Chicago
1.64E+18,America/Chicago
4.30E+18,America/Chicago
6.92E+18,America/Chicago
5.36E+18,America/Chicago
8.95E+18,America/Chicago
4.75E+18,America/Chicago
3.19E+18,America/Chicago
5.33E+18,America/Chicago
3.70E+18,America/Chicago
7.05E+18,America/Chicago
1.46E+18,America/Chicago
4.26E+18,America/Chicago
1.06E+17,America/Chicago
7.31E+18,America/Chicago
8.84E+18,America/Chicago
2.25E+18,America/Chicago
8.09E+18,America/Chicago
7.04E+18,America/Chicago
7.68E+18,America/Chicago
2.38E+18,America/Chicago
8.67E+18,America/Chicago
6.10E+18,America/Chicago
1.87E+18,America/Chicago
9.18E+17,America/Chicago
5.37E+18,America/Chicago
7.08E+18,America/Chicago
5.59E+18,America/Chicago
5.18E+18,America/Chicago
3.68E+18,America/Chicago
7.68E+18,America/Chicago
1.92E+18,America/Chicago
3.48E+18,America/Chicago
6.36E+18,America/Chicago
8.17E+18,America/Chicago
7.28E+18,America/Chicago
1.09E+18,America/Chicago
4.99E+18,America/Chicago
2.09E+18,America/Chicago
5.29E+18,America/Chicago
1.76E+18,America/Chicago
1.50E+18,America/Chicago
1.48E+18,America/Chicago
2.12E+18,America/Chicago
7.97E+18,America/Chicago
7.68E+18,America/Chicago
7.20E+18,America/Chicago
8.46E+18,America/Chicago
7.59E+18,America/Chicago
8.95E+18,America/Chicago
7.86E+18,America/Chicago
8.72E+18,America/Chicago
3.56E+18,America/Chicago
1.02E+18,America/Chicago
2.04E+17,America/Chicago
6.73E+17,America/Chicago
6.15E+18,America/Chicago
3.48E+18,America/Chicago
2.85E+18,America/Chicago
8.27E+18,America/Chicago
7.74E+18,America/Chicago
4.20E+18,America/Chicago
8.08E+18,America/Chicago
8.16E+17,America/Chicago
8.49E+18,America/Chicago
9.12E+18,America/Chicago
6.39E+18,America/Chicago
3.95E+18,America/Chicago
8.62E+18,America/Chicago
6.14E+18,America/Chicago
7.13E+18,America/Chicago
7.69E+18,America/Chicago
5.52E+16,America/Chicago
1.45E+18,America/Chicago
4.19E+18,America/Chicago
6.70E+18,America/Chicago
2.99E+17,America/Chicago
8.76E+18,America/Chicago
2.79E+18,America/Chicago
5.78E+18,America/Chicago
1.63E+18,America/Chicago
8.99E+18,America/Chicago
6.12E+18,America/Chicago
9.22E+18,America/Chicago
5.38E+18,America/Chicago
5.63E+18,America/Chicago
7.74E+18,America/Chicago
8.75E+18,America/Chicago
8.88E+17,America/Chicago
4.94E+18,America/Chicago
4.45E+18,America/Chicago
6.84E+18,America/Chicago
2.35E+17,America/Chicago
1.35E+18,America/Chicago
5.85E+17,America/Chicago
5.28E+18,America/Chicago
5.71E+18,America/Chicago
8.21E+18,America/Chicago
5.89E+18,America/Chicago
2.60E+18,America/Chicago
1.28E+18,America/Chicago
3.51E+18,America/Chicago
4.96E+18,America/Chicago
9.21E+18,America/Chicago
2.07E+18,America/Chicago
7.52E+17,America/Chicago
4.67E+18,America/Chicago
3.42E+18,America/Chicago
3.39E+18,America/Chicago
6.49E+18,America/Chicago
3.19E+18,America/Chicago
4.48E+17,America/Chicago
8.16E+18,America/Chicago
4.97E+18,America/Chicago
6.09E+18,America/Chicago
4.91E+18,America/Chicago
2.52E+18,America/Chicago
6.50E+18,America/Chicago
1.83E+18,America/Chicago
3.61E+18,America/Chicago
6.91E+17,America/Chicago
6.45E+18,America/Chicago
5.91E+18,America/Chicago
1.39E+18,America/Chicago
4.32E+18,America/Chicago
4.09E+18,America/Chicago
5.71E+18,America/Chicago
2.87E+18,America/Chicago
2.59E+18,America/Chicago
4.07E+18,America/Chicago
8.48E+18,America/Chicago
5.23E+17,America/Chicago
6.31E+18,America/Chicago
9.19E+18,America/Chicago
5.98E+18,America/Chicago
1.71E+18,America/Chicago
3.30E+18,America/Chicago
6.42E+18,America/Chicago
5.36E+18,America/Chicago
6.25E+18,America/Chicago
7.95E+18,America/Chicago
9.02E+18,America/Chicago
7.04E+18,America/Chicago
6.52E+18,America/Chicago
8.89E+18,America/Chicago
2.57E+18,America/Chicago
8.96E+18,America/Chicago
5.56E+18,America/Chicago
7.36E+18,America/Chicago
3.77E+18,America/Chicago
2.43E+18,America/Chicago
5.67E+18,America/Chicago
7.83E+18,America/Chicago
2.26E+18,America/Chicago
3.00E+18,America/Chicago
3.16E+18,America/Chicago
7.26E+18,America/Chicago
2.10E+18,America/Chicago
6.92E+18,America/Chicago
7.05E+18,America/Chicago
2.62E+18,America/Chicago
6.80E+18,America/Chicago
7.14E+18,America/Chicago
9.09E+18,America/Chicago
5.26E+18,America/Chicago
2.68E+18,America/Chicago
4.95E+18,America/Chicago
4.64E+18,America/Chicago
1.85E+18,America/Chicago
7.37E+18,America/Chicago
6.96E+18,America/Chicago
5.77E+18,America/Chicago
3.46E+18,America/Chicago
6.58E+18,America/Chicago
5.51E+18,America/Chicago
3.36E+18,America/Chicago
3.41E+18,America/Chicago
3.74E+18,America/Chicago
7.61E+18,America/Chicago
7.97E+18,America/Chicago
8.50E+18,America/Chicago
5.96E+18,America/Chicago
9.09E+18,America/Chicago
3.70E+18,America/Chicago
3.20E+18,America/Chicago
2.54E+18,America/Chicago
1.03E+18,America/Chicago
8.19E+18,America/Chicago
4.32E+18,America/Chicago
1.31E+18,America/Chicago
2.19E+17,America/Chicago
5.54E+18,America/Chicago
4.74E+18,America/Chicago
4.45E+18,America/Chicago
4.21E+17,America/Chicago
2.22E+18,America/Chicago
1.59E+18,America/Chicago
8.79E+18,America/Chicago
4.08E+18,America/Chicago
7.32E+17,America/Chicago
1.84E+18,America/Chicago
4.96E+17,America/Chicago
3.04E+18,America/Chicago
4.41E+18,America/Chicago
6.81E+18,America/Chicago
5.96E+18,America/Chicago
3.53E+18,America/Chicago
8.55E+18,America/Chicago
7.22E+18,America/Chicago
7.51E+18,America/Chicago
2.43E+18,America/Chicago
5.35E+18,America/Chicago
6.52E+18,America/Chicago
8.43E+18,America/Chicago
7.76E+18,America/Chicago
2.58E+18,America/Chicago
2.86E+18,America/Chicago
5.03E+18,America/Chicago
4.22E+18,America/Chicago
4.98E+17,America/Chicago
6.67E+18,America/Chicago
7.79E+18,America/Chicago
3.77E+18,America/Chicago
8.58E+18,America/Chicago
5.68E+17,America/Chicago
4.42E+18,America/Chicago
4.57E+18,America/Chicago
1.71E+18,America/Chicago
2.91E+18,America/Chicago
3.82E+18,America/Chicago
1.44E+18,America/Chicago
8.19E+17,America/Chicago
6.67E+18,America/Chicago
2.67E+18,America/Chicago
6.52E+18,America/Chicago
5.82E+18,America/Chicago
9.06E+18,America/Chicago
2.48E+18,America/Chicago
7.13E+18,America/Chicago
1.25E+18,America/Chicago
4.73E+18,America/Chicago
1.91E+18,America/Chicago
1.12E+18,America/Chicago
6.45E+18,America/Chicago
2.00E+17,America/Chicago
8.59E+18,America/Chicago
2.96E+18,America/Chicago
7.60E+18,America/Chicago
2.75E+18,America/Chicago
9.16E+17,America/Chicago
4.21E+18,America/Chicago
3.46E+18,America/Chicago
4.14E+18,America/Chicago
1.37E+18,America/Chicago
1.37E+18,America/Chicago
7.36E+18,America/Chicago
1.29E+18,America/Chicago
3.98E+18,America/Chicago
4.82E+18,America/Chicago
8.75E+18,America/Chicago
8.85E+18,America/Chicago
7.42E+17,America/Chicago
7.44E+18,America/Chicago
5.93E+18,America/Chicago
5.02E+18,America/Chicago
5.95E+18,America/Chicago
5.16E+18,America/Chicago
3.06E+18,America/Chicago
6.69E+18,America/Chicago
7.72E+18,America/Chicago
8.56E+18,America/Chicago
7.36E+18,America/Chicago
2.12E+18,America/Chicago
9.16E+18,America/Chicago
9.72E+16,America/Chicago
2.26E+17,America/Chicago
4.35E+17,America/Chicago
7.92E+18,America/Chicago
7.01E+18,America/Chicago
6.91E+18,America/Chicago
5.70E+18,America/Chicago
3.19E+18,America/Chicago
6.45E+18,America/Chicago
3.05E+18,America/Chicago
1.05E+18,America/Chicago
3.75E+18,America/Chicago
7.36E+18,America/Chicago
2.20E+18,America/Chicago
8.19E+18,America/Chicago
6.06E+18,America/Chicago
8.75E+18,America/Chicago
1.36E+18,America/Chicago
5.87E+18,America/Chicago
4.74E+18,America/Chicago
4.49E+18,America/Chicago
6.45E+18,America/Chicago
2.01E+18,America/Chicago
8.96E+18,America/Chicago
1.58E+18,America/Chicago
4.71E+18,America/Chicago
2.84E+18,America/Chicago
4.04E+18,America/Chicago
7.52E+17,America/Chicago
8.03E+17,America/Chicago
7.29E+18,America/Chicago
4.26E+18,America/Chicago
1.24E+18,America/Chicago
6.61E+17,America/Chicago
1.87E+18,America/Chicago
2.34E+18,America/Chicago
3.19E+18,America/Chicago
6.12E+18,America/Chicago
2.80E+18,America/Chicago
3.32E+18,America/Chicago
5.56E+18,America/Chicago
2.65E+18,America/Chicago
6.29E+18,America/Chicago
2.26E+17,America/Chicago
3.07E+18,America/Chicago
4.99E+18,America/Chicago
3.92E+18,America/Chicago
8.72E+18,America/Chicago
6.23E+18,America/Chicago
4.38E+18,America/Chicago
5.52E+18,America/Chicago
6.41E+18,America/Chicago
7.55E+18,America/Chicago
4.96E+18,America/Chicago
1.84E+18,America/Chicago
2.44E+18,America/Chicago
2.20E+17,America/Chicago
4.31E+18,America/Chicago
3.19E+18,America/Chicago
2.98E+18,America/Chicago
6.24E+18,America/Chicago
8.99E+18,America/Chicago
5.15E+18,America/Chicago
7.31E+18,America/Chicago
9.36E+17,America/Chicago
8.27E+18,America/Chicago
4.87E+18,America/Chicago
6.92E+18,America/Chicago
6.86E+18,America/Chicago
4.16E+18,America/Chicago
1.35E+18,America/Chicago
1.20E+18,America/Chicago
6.09E+18,America/Chicago
6.27E+18,America/Chicago
7.83E+18,America/Chicago
1.27E+18,America/Chicago
4.67E+17,America/Chicago
3.86E+18,America/Chicago
8.45E+18,America/Chicago
3.83E+18,America/Chicago
7.12E+18,America/Chicago
6.63E+18,America/Chicago
6.51E+18,America/Chicago
7.00E+18,America/Chicago
1.31E+17,America/Chicago
6.53E+18,America/Chicago
4.34E+18,America/Chicago
1.22E+18,America/Chicago
7.32E+18,America/Chicago
7.59E+18,America/Chicago
1.53E+18,America/Chicago
6.69E+18,America/Chicago
5.11E+18,America/Chicago
4.47E+18,America/Chicago
6.74E+18,America/Chicago
3.25E+18,America/Chicago
5.08E+18,America/Chicago
8.07E+18,America/Chicago
4.45E+18,America/Chicago
3.39E+18,America/Chicago
6.59E+18,America/Chicago
5.91E+18,America/Chicago
2.49E+18,America/Chicago
3.77E+18,America/Chicago
5.40E+18,America/Chicago
3.83E+18,America/Chicago
1.22E+18,America/Chicago
8.48E+18,America/Chicago
2.52E+18,America/Chicago
2.98E+18,America/Chicago
3.17E+18,America/Chicago
7.00E+18,America/Chicago
6.68E+17,America/Chicago
3.89E+18,America/Chicago
5.46E+18,America/Chicago
3.06E+18,America/Chicago
6.24E+18,America/Chicago
2.03E+18,America/Chicago
6.80E+18,America/Chicago
4.65E+18,America/Chicago
6.89E+18,America/Chicago
5.28E+18,America/Chicago
6.04E+18,America/Chicago
8.06E+18,America/Chicago
3.26E+18,America/Chicago
8.21E+18,America/Chicago
2.68E+18,America/Chicago
4.34E+18,America/Chicago
7.81E+18,America/Chicago
4.62E+17,America/Chicago
5.96E+18,America/Chicago
7.15E+18,America/Chicago
7.50E+17,America/Chicago
2.71E+18,America/Chicago
2.08E+18,America/Chicago
1.04E+18,America/Chicago
5.12E+18,America/Chicago
3.96E+18,America/Chicago
7.59E+18,America/Chicago
8.53E+18,America/Chicago
3.06E+18,America/Chicago
9.86E+17,America/Chicago
2.66E+18,America/Chicago
2.70E+18,America/Chicago
3.27E+18,America/Chicago
2.27E+18,America/Chicago
4.24E+18,America/Chicago
6.17E+17,America/Chicago
2.22E+18,America/Chicago
2.85E+18,America/Chicago
2.07E+17,America/Chicago
7.21E+18,America/Chicago
8.53E+18,America/Chicago
2.48E+17,America/Chicago
8.37E+18,America/Chicago
4.34E+18,America/Chicago
4.15E+18,America/Chicago
4.46E+18,America/Chicago
2.53E+18,America/Chicago
3.86E+18,America/Chicago
4.15E+18,America/Chicago
5.01E+18,America/Chicago
3.41E+18,America/Chicago
3.50E+18,America/Chicago
5.11E+18,America/Chicago
3.74E+18,America/Chicago
5.81E+18,America/Chicago
1.12E+18,America/Chicago
3.85E+18,America/Chicago
7.92E+18,America/Chicago
